City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,alice springs,-23.7,133.8833,99.95,20,75,9.22,AU,1708405948
130,la sarre,48.8002,-79.1996,-15.84,100,37,1.66,CA,1708406463
131,paradip garh,20.3167,86.6167,84.85,53,1,11.39,IN,1708406463
132,tiksi,71.6872,128.8694,-31.13,97,43,3.6,RU,1708405943
133,utrik,11.2278,169.8474,80.55,82,27,14.83,MH,1708405982
134,quellon,-43.1167,-73.6167,54.64,96,10,4.83,CL,1708406464
135,taoudenni,22.6783,-3.9836,64.63,33,0,15.03,ML,1708405991
136,puerto aysen,-45.4,-72.7,56.28,98,5,3.85,CL,1708406465
137,talcahuano,-36.7167,-73.1167,60.48,82,100,11.5,CL,1708406466
138,san patricio,28.017,-97.5169,62.46,89,0,6.98,US,1708405993
139,palikir - national government center,6.9248,158.1611,85.05,79,100,11.5,FM,1708406040
140,nemuro,43.3236,145.575,30.61,66,80,11.5,JP,1708405965
141,harsova,44.6833,27.9333,35.46,84,71,7.52,RO,1708406466
142,nova sintra,14.8667,-24.7167,69.37,77,0,14.5,CV,1708406019
143,hawaiian paradise park,19.5933,-154.9731,69.31,88,100,5.75,US,1708405924
144,marquette,46.5333,-87.6335,18.77,86,69,1.01,US,1708406467
145,vilyuchinsk,52.9306,158.4028,25.07,90,99,1.5,RU,1708405997
146,fada,9.5667,8.3,71.67,25,5,3.47,NG,1708406468
147,weno,7.4515,151.8468,85.95,58,20,13.8,FM,1708405959
148,lompoc,34.6391,-120.4579,57.78,86,40,4.61,US,1708405976
149,saint-felicien,48.6501,-72.4491,0.28,60,20,9.22,CA,1708406469
150,aral,40.5156,81.2636,29.98,17,100,8.79,CN,1708406469
151,khandyga,62.6667,135.6,-25.78,87,100,1.9,RU,1708406053
152,tonga,-20.0,-175.0,80.83,82,87,18.41,TO,1708406470
153,sur,22.5667,59.5289,74.14,56,0,8.21,OM,1708406014
154,cobija,-11.0267,-68.7692,74.95,91,100,3.0,BO,1708406035
155,luba,3.4568,8.5547,78.69,88,62,4.88,GQ,1708406471
156,jamestown,42.097,-79.2353,23.72,85,19,1.01,US,1708406444
157,houghton,47.1219,-88.569,26.08,89,20,12.66,US,1708406235
158,cajabamba,-7.6167,-78.05,56.8,86,100,5.08,PE,1708406473
159,xapuri,-10.6517,-68.5044,73.78,98,100,3.06,BR,1708406473
160,gunnedah,-30.9833,150.25,86.36,34,43,6.73,AU,1708406474
161,teknaf,20.8624,92.3058,79.36,42,3,10.18,BD,1708406474
162,aasiaat,68.7098,-52.8699,7.74,99,79,3.13,GL,1708405953
163,tahoua,14.8888,5.2692,66.18,27,0,6.91,NE,1708406475
164,kristiansund,63.1115,7.732,43.45,70,75,5.75,NO,1708405954
165,valle hermoso,25.6667,-97.8333,57.88,84,0,8.39,MX,1708406011
166,korla,41.7597,86.1469,24.33,28,100,9.73,CN,1708406475
167,vershino-darasunskiy,52.35,115.5167,-3.01,49,1,10.87,RU,1708406476
168,island harbour,50.724,-1.2758,44.98,93,99,7.83,GB,1708406476
169,cabo san lucas,22.8909,-109.9124,73.51,56,0,6.91,MX,1708405829
170,saldanha,-33.0117,17.9442,64.31,97,76,2.89,ZA,1708405921
171,korfez,40.7767,29.7297,40.08,100,81,4.14,TR,1708406477
172,mata-utu,-13.2816,-176.1745,82.76,80,100,11.39,WF,1708406070
173,invercargill,-46.4,168.35,57.02,64,21,17.0,NZ,1708405956
174,faya-largeau,17.9257,19.1043,65.8,17,38,20.27,TD,1708406477
175,kodiak,57.79,-152.4072,42.31,87,100,14.97,US,1708405932
